Name                                                                            Stmts   Miss   Cover   Missing
ciris_engine/logic/utils/context_utils.py                                          71     61  14.08%   6, 40-159
ciris_engine/logic/adapters/api/api_adapter.py                                    235    201  14.47%   54-80, 84-89, 93-119, 126-170, 183-222, 235-249, 253-291, 295-317, 321-358, 362-410, 414-425, 429-451, 455, 462, 469-485, 493-515, 519, 523-528, 532-534, 548-550
ciris_engine/logic/persistence/maintenance.py                                     148    124  16.22%   39-43, 47-48, 52-60, 64-74, 78, 82, 92-225
ciris_engine/logic/processors/core/main_processor.py                              507    423  16.57%   23, 57, 71, 147-166, 173-174, 178, 182-198, 203-204, 214-220, 231-285, 293-372, 376-464, 468-498, 502-659, 663-693, 697-706, 710-743, 747-785, 789-846, 850-910
ciris_engine/logic/handlers/terminal/task_complete_handler.py                      90     75  16.67%   22-110, 114-132, 136-151, 155-184
ciris_engine/logic/config/bootstrap.py                                             91     75  17.58%   23-28, 34-87, 111-138, 147-184
ciris_engine/logic/dma/action_selection/faculty_integration.py                     67     55  17.91%   15, 23-61, 65-73, 84-144, 154-164
ciris_engine/logic/runtime/adapter_manager.py                                     226    184  18.58%   12, 44, 73-76, 89-133, 149-198, 214-240, 252-286, 297-353, 369-403, 412-451, 455-466, 470-486, 490-514
ciris_engine/logic/buses/runtime_control_bus.py                                   206    167  18.93%   11, 57-78, 92-132, 146-159, 166-190, 204-237, 253-275, 289-302, 310-337, 345-372, 380-406, 414-434, 445-452, 456-463, 467
ciris_engine/logic/audit/verifier.py                                              157    127  19.11%   36, 45-103, 107-134, 141-152, 163-167, 171-186, 195-232, 242-279, 288-326, 330-372
ciris_engine/logic/adapters/api/adapter.py                                        109     88  19.27%   16-56, 60-67, 71, 78-82, 86-108, 112-166, 170-186, 190-195, 201-203, 208
ciris_engine/logic/context/builder.py                                             128    103  19.53%   40-173, 200
ciris_engine/logic/formatters/system_snapshot.py                                   10      8  20.00%   17-32
ciris_engine/logic/dma/action_selection/context_builder.py                        134    106  20.90%   30-117, 121-149, 153-171, 175-185, 189, 193-196, 209-230, 239-256, 260, 284-300, 304-310, 314, 320-331, 335-352
